,x,y,u,cell_id,CoV,infected_DM_3,IoD,infected_DM_0,population,sd,var,infected_DM_2,infected_DM_1,level of impact,level of uncertainity,distance in miles
488,-2.2909908,53.4015181,4.0,-9030470385945793000,0.645497224367903,7,1.66666666666667,3,55,2.58198889747161,6.66666666666667,5,1,highest contaminated zone,highest uncertainity,0.7204351107893745
489,-2.2894868,53.4015217,0.75,-4756920689166903000,1.27656947700845,1,1.22222222222222,0,290,0.957427107756338,0.916666666666667,0,2,higher impacted area,highest uncertainity,0.6184979224841287
490,-2.2894868,53.4015217,14.75,-4756920689166903000,0.310066050486152,20,1.4180790960452,10,290,4.57347424467075,20.9166666666667,17,12,highest contaminated zone,highest uncertainity,0.6184979224841287
491,-2.2894868,53.4015217,18.75,-4756920689166903000,0.299728272001553,13,1.68444444444444,26,290,5.61990510002912,31.5833333333333,16,20,highest contaminated zone,highest uncertainity,0.6184979224841287
492,-2.2879828,53.4015254,0.25,-4725598123552062000,2.0,0,1.0,0,17,0.5,0.25,0,1,slightly impacted area,highest uncertainity,0.5173472791072313
493,-2.2879828,53.4015254,1.0,-4725598123552062000,0.816496580927726,0,0.666666666666667,1,17,0.816496580927726,0.666666666666667,2,1,higher impacted area,moderate uncertainity,0.5173472791072313
494,-2.2879828,53.4015254,1.25,-4725598123552062000,1.00664459136943,3,1.26666666666667,1,17,1.25830573921179,1.58333333333333,0,1,higher impacted area,highest uncertainity,0.5173472791072313
495,-2.2669266,53.4015743,0.25,434616600594415400,2.0,1,1.0,0,51,0.5,0.25,0,0,slightly impacted area,highest uncertainity,0.9627943535855246
496,-2.2669266,53.4015743,0.25,434616600594415400,2.0,0,1.0,0,51,0.5,0.25,1,0,slightly impacted area,highest uncertainity,0.9627943535855246
497,-2.2669266,53.4015743,1.75,434616600594415400,0.975900072948533,1,1.66666666666667,2,51,1.70782512765993,2.91666666666667,0,4,higher impacted area,highest uncertainity,0.9627943535855246
498,-2.2669266,53.4015743,2.25,434616600594415400,0.759033390071081,0,1.2962962962963,4,51,1.70782512765993,2.91666666666667,2,3,highest contaminated zone,highest uncertainity,0.9627943535855246
499,-2.2654226,53.4015777,0.25,-8082707173688260000,2.0,0,1.0,1,30,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.0658567810049933
500,-2.2654226,53.4015777,0.5,-8082707173688260000,1.15470053837925,1,0.666666666666667,1,30,0.577350269189626,0.333333333333333,0,0,moderately impacted area,moderate uncertainity,1.0658567810049933
501,-2.2654226,53.4015777,1.25,-8082707173688260000,1.51437555888007,0,2.86666666666667,1,30,1.89296944860009,3.58333333333333,0,4,higher impacted area,very unlikely,1.0658567810049933
502,-2.2639186,53.401581,0.25,8774893376785943000,2.0,0,1.0,0,38,0.5,0.25,0,1,slightly impacted area,highest uncertainity,1.169071225756546
503,-2.2624146,53.4015844,0.75,-1365950241060074000,0.666666666666667,1,0.333333333333333,0,73,0.5,0.25,1,1,higher impacted area,least uncertainity,1.2723993148733512
504,-2.2624146,53.4015844,1.0,-1365950241060074000,1.15470053837925,0,1.33333333333333,2,73,1.15470053837925,1.33333333333333,0,2,higher impacted area,highest uncertainity,1.2723993148733512
505,-2.2609105,53.4015877,0.75,1870532463238897000,0.666666666666667,0,0.333333333333333,1,43,0.5,0.25,1,1,higher impacted area,least uncertainity,1.3758235970118742
506,-2.2518864,53.4016071,0.25,-4728342684599692000,2.0,0,1.0,0,44,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.9974254483575042
507,-2.2518864,53.4016071,0.25,-4728342684599692000,2.0,0,1.0,0,44,0.5,0.25,0,1,slightly impacted area,highest uncertainity,1.9974254483575042
508,-2.2488784,53.4016134,0.25,8681902611632028000,2.0,0,1.0,1,62,0.5,0.25,0,0,slightly impacted area,highest uncertainity,2.204863555028245
509,-2.3120535,53.4023637,0.25,-6462691507128473000,2.0,0,1.0,1,22,0.5,0.25,0,0,slightly impacted area,highest uncertainity,2.1648837482746357
510,-2.3105494,53.4023676,0.25,-2627093090493417000,2.0,1,1.0,0,34,0.5,0.25,0,0,slightly impacted area,highest uncertainity,2.0610128546137094
511,-2.3060373,53.4023793,0.25,8750851628818363000,2.0,0,1.0,0,66,0.5,0.25,0,1,slightly impacted area,highest uncertainity,1.749451657841892
512,-2.3060373,53.4023793,0.75,8750851628818363000,0.666666666666667,0,0.333333333333333,1,66,0.5,0.25,1,1,higher impacted area,least uncertainity,1.749451657841892
513,-2.3045333,53.4023831,0.25,4255067148382477000,2.0,0,1.0,1,71,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.6456170473977
514,-2.3030293,53.402387,0.5,6519259084581788000,1.15470053837925,1,0.666666666666667,1,65,0.577350269189626,0.333333333333333,0,0,moderately impacted area,moderate uncertainity,1.5417931967618046
515,-2.3030293,53.402387,0.5,6519259084581788000,2.0,0,2.0,0,65,1.0,1.0,0,2,moderately impacted area,highest uncertainity,1.5417931967618046
516,-2.3015252,53.4023908,0.25,6852140354822498000,2.0,0,1.0,0,86,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.437976222196999
517,-2.3015252,53.4023908,0.5,6852140354822498000,2.0,2,2.0,0,86,1.0,1.0,0,0,moderately impacted area,highest uncertainity,1.437976222196999
518,-2.3000212,53.4023946,0.25,8448911366485651000,2.0,1,1.0,0,60,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.3341827719835033
519,-2.3000212,53.4023946,0.5,8448911366485651000,2.0,0,2.0,0,60,1.0,1.0,2,0,moderately impacted area,highest uncertainity,1.3341827719835033
520,-2.294005,53.4024095,0.25,-802685727382235400,2.0,0,1.0,0,53,0.5,0.25,0,1,slightly impacted area,highest uncertainity,0.9192755890886675
